KG,KK,Objektbezeichung,Strasse,Stadt,Baujahr,
Affoltern,11,Kirchgemeindehaus,Riedhaldenstrasse 1,Zurich,1937,
Affoltern,11,Kirche ,Riedhaldenstrasse 3,Zurich,1973,
Affoltern,11,Pfarrhaus,Riedhaldenstrasse 5,Zurich,1949,
Affoltern,11,Wohnen,Riedhaldenstrasse 7,Zurich,1972,
Höngg,10,Baurecht,Riedhofweg 2,Zurich,,
Predigern,1,Gewerbehaus/Geschäftshaus,Rindermarkt 14,Zurich,1637,
Wipkingen,10,Kirchgemeindehaus,Rosengartenstrasse 1,Zurich,1931,
Wipkingen,6,Baurecht,Rötelstrasse 102,Zurich,,
Wipkingen,6,Baurecht,Rötelstrasse 96,Zurich,,
Wipkingen,6,Wohnen,Rötelstrasse 98,Zurich,1961,
Balgrist,7+8,Wohnen,Russenweg 39,Zurich,1959,
Balgrist,7+8,Kirchgemeindehaus ,Russenweg 40,Zurich,,
Hottingen,7+8,Pfarrhaus ,Rütistrasse 9,Zurich,1928,
Saatlen,12,Kirche ,Saatlenstrasse 238,Zurich,1963,
Paulus,6,Pfarrhaus,Scheuchzerstrasse 182,Zurich,,
Predigern,1,Pfarrhaus ,Schienhutgasse 6,Zurich,1863,
Aussersihl,4+5,Wohnen,Schimmelstrasse 8,Zurich,1938,
Wiedikon,3,Kirche ,Schlossgasse 10,Zurich,1790,
St. Peter,1,Wohnen,Schlüsselgasse 18,Zurich,1595,
Friesenberg,3,Pfarrhaus ,Schweighofstrasse 195,Zurich,1971,
Friesenberg,3,Kirche ,Schweighofstrasse 231,Zurich,,
Seebach,11,Pfarrhaus ,Seebacherstrasse 60,Zurich,1990,
Neumünster,7+8,Kirchgemeindehaus ,Seefeldstrasse 91,Zurich,1973,
Höngg,10,Pfarrhaus ,Segantinistrasse 154,Zurich,1949,
Altstetten,9,Sonstiges,Spirgartenstrasse 7,Zurich,1910,
St. Peter,1,Pfarrhaus + Kirche,St. Peterhofstatt 2,Zurich,1523,
St. Peter,1,Kirchgemeindehaus,St. Peterhofstatt 6,Zurich,1922,
St. Peter,1,Baurecht,St. Peterstrasse 3,Zurich,,
Oberstrass,6,Pfarrhaus ,Stapferstrasse 60,Zurich,,
Oberstrass,6,Sonstiges,Stapferstrasse 62,Zurich,1972,
Oberstrass,6,Kirche ,Stapferstrassse 58,Zurich,1908,
Aussersihl,4+5,Kirche,Stauffacherstrasse 34,Zurich,1900,
Aussersihl,4+5,Kirchgemeindehaus ,Stauffacherstrasse 8,Zurich,1973,
St. Peter,1,Wohnen,Stegengasse 4,Zurich,1812,
Schwamendingen,12,Kirchgemeindehaus,Stetbachstrasse 56,Zurich,1953,
Schwamendingen,12,Kirche,Stettbachstrasse 51,Zurich,1826,
Affoltern,11,Wohnen,Stöckengasse 26,Zurich,1931,
Albisrieden,9,Pfarrhaus,Süsslerenstrasse 20,Zurich,,
Höngg,10,Pfarrhaus ,Talchernsteig 3,Zurich,1932,
Albisrieden,9,Pfarrhaus ,Triemlistrasse 24,Zurich,1933,
Unterstrass,6,Pfarrhaus ,Turnerstrasse 44,Zurich,1892,
Unterstrass,6,Pfarrhaus,Turnerstrasse 45,Zurich,,
Unterstrass,6,Kirche ,Turnerstrasse 45,Zurich,1885,
Fluntern,7+8,Wohnen,Voltastrasse 58,Zurich,1969,
Leimbach,2,Kirche ,Wegackerstrasse 42,Zurich,1971,
Matthäus,6,Kirchgemeindehaus,Wehntalerstrasse 124,Zurich,1978,
Wipkingen,10,Kirche ,Wibichstrasse 39,Zurich,1909,
Wiedikon,3,Wohnen,Wiedingstrasse 14,Zurich,1913,
Wiedikon,3,Pfarrhaus ,Wiedingstrasse 3,Zurich,1910,
Oberstrass,6,Kirchgemeindehaus,Winterthurerstrasse 25,Zurich,1958,
Schwamendingen,12,Wohnen,Winterthurerstrasse 473,Zurich,1845,
Neumünster,7+8,Pfarrhaus ,Wotanstrasse 4,Zurich,1911,
Wipkingen,10,Wohnen,Wunderlistrasse 25,Zurich,1924,
Albisrieden,9,Pfarrhaus ,Wydäckerring 144,Zurich,1953,
Albisrieden,9,Baurecht,Wydlerweg 23,Zurich,,
Affoltern,11,Kirche ,Zehntenhausstrasse 94,Zurich,1683,
Affoltern,11,Sonstiges,Zehntenhausstrasse 96,Zurich,1909,
Neumünster,7+8,Pfarrhaus ,Zollikerstrasse 196,Zurich,1888,
Neumünster,7+8,Kirche ,Zollikerstrasse 74,Zurich,1910,
Oerlikon,12,Pfarrhaus ,Zürichholzstrasse 4,Zurich,1922,
Grossmünster,1,Pfarrhaus ,Zwingliplatz 4,Zurich,1812,
Grossmünster,1,Kirche,Grossmünster,Zurich,1468
