field_1,input_string,kreis,latitude,longitude,postcode,type,year
"148","Süsslerenstrasse 20, Zürich",Albisrieden,"47.3762182","8.4927308","8047",Pfarrhaus,
"149","Talchernsteig 3, Zürich",Höngg,"47.40282020000001","8.4873747","8049",Pfarrhaus ,"1932.0"
"150","Triemlistrasse 24, Zürich",Albisrieden,"47.3731144","8.4846684","8047",Pfarrhaus ,"1933.0"
"151","Turnerstrasse 44, Zürich",Unterstrass,"47.3870033","8.5428112","8006",Pfarrhaus ,"1892.0"
"152","Turnerstrasse 45, Zürich",Unterstrass,"47.38711430000001","8.5422768","8006",Pfarrhaus,
"153","Turnerstrasse 45, Zürich",Unterstrass,"47.38711430000001","8.5422768","8006",Kirche ,"1885.0"
"154","Voltastrasse 58, Zürich",Fluntern,"47.3792754","8.5543651","8044",Wohnen,"1969.0"
"155","Wegackerstrasse 42, Zürich",Leimbach,"47.3329152","8.5161681","8041",Kirche ,"1971.0"
"156","Wehntalerstrasse 124, Zürich",Matthäus,"47.4044937","8.533885999999999","8057",Kirchgemeindehaus,"1978.0"
"157","Wibichstrasse 39, Zürich",Wipkingen,"47.3969829","8.5282385","8037",Kirche ,"1909.0"
"158","Wiedingstrasse 14, Zürich",Wiedikon,"47.3678225","8.517424199999999","8055",Wohnen,"1913.0"
"159","Wiedingstrasse 3, Zürich",Wiedikon,"47.3681847","8.517765299999999","8055",Pfarrhaus ,"1910.0"
"160","Winterthurerstrasse 25, Zürich",Oberstrass,"47.3864558","8.547382599999999","8006",Kirchgemeindehaus,"1958.0"
"161","Winterthurerstrasse 473, Zürich",Schwamendingen,"47.4041293","8.569251099999999","8051",Wohnen,"1845.0"
"162","Wotanstrasse 4, Zürich",Neumünster,"47.3642081","8.5627456","8032",Pfarrhaus ,"1911.0"
"163","Wunderlistrasse 25, Zürich",Wipkingen,"47.3968915","8.5222619","8037",Wohnen,"1924.0"
"164","Wydäckerring 144, Zürich",Albisrieden,"47.370115","8.4932324","8047",Pfarrhaus ,"1953.0"
"165","Wydlerweg 23, Zürich",Albisrieden,"47.3769143","8.4857294","8047",Baurecht,
"166","Zehntenhausstrasse 94, Zürich",Affoltern,"47.4245257","8.5086846","8046",Kirche ,"1683.0"
"167","Zehntenhausstrasse 96, Zürich",Affoltern,"47.4247841","8.508705899999999","8046",Sonstiges,"1909.0"
"168","Zollikerstrasse 196, Zürich",Neumünster,"47.3507849","8.5635392","8008",Pfarrhaus ,"1888.0"
"169","Zollikerstrasse 74, Zürich",Neumünster,"47.3598816","8.556970399999999","8008",Kirche ,"1910.0"
"170","Zürichholzstrasse 4, Zürich",Oerlikon,"47.40452459999999","8.5419819","8057",Pfarrhaus ,"1922.0"
"171","Zwingliplatz 4, Zürich",Grossmünster,"47.3704062","8.544703799999999","8001",Pfarrhaus ,"1812.0"
